City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,smidovich,48.6,133.8167,-31.32,96,33,5.75,RU,1674768121
330,qandala,11.472,49.8728,75.54,66,10,6.44,SO,1674768121
331,taft,31.7471,54.2088,35.55,56,75,4.61,IR,1674768028
332,beringovskiy,63.05,179.3167,-3.84,94,100,15.57,RU,1674768121
333,manono,-7.3,27.4167,68.31,95,100,1.92,CD,1674768122
334,campoverde,-8.4753,-74.8058,91.09,35,97,2.64,PE,1674768122
335,never,46.9896,3.159,31.75,92,100,5.08,FR,1674768123
336,flagstaff,35.1981,-111.6513,35.26,43,0,11.5,US,1674768123
337,san cristobal,7.7669,-72.225,77.18,34,77,2.04,VE,1674768124
338,bandar-e lengeh,26.5579,54.8807,57.31,82,100,24.16,IR,1674768124
339,north battleford,52.7834,-108.2847,35.69,75,75,29.93,CA,1674767882
340,marsh harbour,26.5412,-77.0636,77.27,74,0,9.84,BS,1674768124
341,marsa matruh,31.3525,27.2453,62.91,40,99,11.79,EG,1674768125
342,carbonia,39.1672,8.5222,42.01,80,72,6.44,IT,1674768125
343,geraldton,-28.7667,114.6,70.21,78,40,20.71,AU,1674768126
344,waipawa,-41.4122,175.5153,65.5,63,100,5.06,NZ,1674768126
345,coffs harbour,-30.3,153.1333,73.36,83,100,5.75,AU,1674767975
346,chissamba,-12.1667,17.3333,61.39,97,100,4.72,AO,1674768126
347,ginir,7.1333,40.7,59.4,46,71,3.13,ET,1674768127
348,tatui,-23.3556,-47.8569,75.83,64,39,15.12,BR,1674768127
349,boende,-0.2167,20.8667,76.73,62,100,3.42,CD,1674768127
350,sumbe,-11.2061,13.8437,78.01,84,77,7.54,AO,1674768128
351,bijar,35.8668,47.6051,18.21,89,82,1.41,IR,1674768128
352,santo tomas,14.1079,121.1414,75.45,86,100,5.64,PH,1674768128
353,kilindoni,-7.9139,39.6668,79.75,79,100,5.57,TZ,1674768129
354,la palma,33.8464,-118.0467,72.82,22,0,18.41,US,1674768129
355,alice springs,-23.7,133.8833,80.15,44,40,6.91,AU,1674768130
356,san jose,37.3394,-121.895,69.6,38,0,5.99,US,1674767895
357,zile,40.3031,35.8864,37.4,56,23,3.0,TR,1674768130
358,autun,46.95,4.3,30.52,92,97,4.9,FR,1674768130
359,kahului,20.8947,-156.47,74.97,93,100,3.0,US,1674768131
360,svetlogorsk,52.6333,29.7333,26.78,78,24,5.84,BY,1674768131
361,half moon bay,37.4636,-122.4286,68.41,37,0,10.36,US,1674768078
362,ossora,59.2353,163.0719,8.37,92,100,22.39,RU,1674768132
363,tilichiki,60.4667,166.1,-12.95,84,100,9.8,RU,1674768132
364,chekhov,55.1431,37.4711,26.85,94,43,8.95,RU,1674768133
365,kununurra,-15.7667,128.7333,76.98,100,75,0.0,AU,1674768133
